-3.5	13650	-6030	3.6987	-1630.3025387298
-3	14430	-5250	3.2383	-1621.2210110243
-2.5	15330	-4350	2.6793	-1623.5583921174
-2	16050	-3630	2.2331	-1625.5429671757
-1.5	17040	-2640	1.6347	-1614.9752248119
-1	17640	-2040	1.2197	-1672.542428466
0	19680	0	0	
1	21630	1950	1.2197	1598.7537919161
1.5	22320	2640	1.6347	1614.9752248119
2	23340	3660	2.2331	1638.9772065738
2.5	24060	4380	2.6793	1634.7553465457
3	24960	5280	3.2383	1630.4851310873
3.5	25650	5970	3.6987	1614.0806229216
4	26500	6820	4.2411	1608.0733771899
